1 

         1785813871 function calls (1686535384 primitive calls) in 538.854 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
112990424   14.804    0.000   14.804    0.000 reportviews.py:167(__init__)
 58927040   14.307    0.000   14.307    0.000 coreviews.py:275(<genexpr>)
   585760   13.931    0.000  147.364    0.000 {built-in method _functools.reduce}
 99307286   13.238    0.000   82.135    0.000 encoder.py:413(_iterencode)
  3495865   12.777    0.000  137.412    0.000 connected.py:26(connected_components)
 60384685   12.670    0.000   19.145    0.000 coreviews.py:50(__iter__)
 64422838    7.890    0.000    7.890    0.000 filters.py:58(__call__)
 63806014    7.661    0.000    7.661    0.000 coreviews.py:44(__init__)
 81169586    7.069    0.000    7.080    0.000 {built-in method builtins.isinstance}
 61127696    6.750    0.000    7.750    0.000 {built-in method builtins.iter}
 60319004    5.458    0.000    5.458    0.000 {method 'add' of 'set' objects}
      250    4.553    0.018  182.896    0.732 GerrymanderingMCMC.py:365(perform_calculations)
 10494050    4.226    0.000    5.476    0.000 graph.py:1514(<genexpr>)
 26654199    4.169    0.000    4.169    0.000 {method 'update' of 'dict' objects}
 34057598    4.046    0.000    4.046    0.000 {built-in method _json.encode_basestring_ascii}
     1003    3.948    0.004    7.322    0.007 graph.py:523(add_nodes_from)
 29394851    3.511    0.000    3.511    0.000 graph.py:1872(bunch_iter)
  5566356    3.209    0.000    4.310    0.000 coreviews.py:322(new_node_ok)
      250    3.063    0.012    5.644    0.023 node_link.py:98(<listcomp>)
   294468    2.848    0.000    6.359    0.000 filters.py:55(__init__)
      250    2.791    0.011    3.938    0.016 node_link.py:90(<listcomp>)
  4312665    2.608    0.000    7.691    0.000 reportviews.py:717(__iter__)
   146440    2.067    0.000  299.203    0.002 GerrymanderingMCMC.py:176(__is_valid_district_plan)
 14802150    1.869    0.000    1.869    0.000 {method 'copy' of 'dict' objects}
      350    1.858    0.005  355.939    1.017 GerrymanderingMCMC.py:210(recombination_of_districts)
