4 

         3813153206 function calls (3779125891 primitive calls) in 1267.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.506    0.506 1318.757 1318.757 GerrymanderingMCMC.py:345(generate_alternative_plans)
   171432    0.480    0.000    0.555    0.000 decorators.py:64(_not_implemented_for)
5380376/5378276    0.457    0.000    0.643    0.000 {built-in method builtins.len}
   805972    0.444    0.000    0.605    0.000 graph.py:349(adj)
   991811    0.385    0.000    1.072    0.000 graph.py:1242(edges)
      420    0.357    0.001   10.311    0.025 {built-in method builtins.sorted}
  4566000    0.356    0.000    0.356    0.000 {method 'items' of 'dict' objects}
   350021    0.322    0.000    3.320    0.000 {built-in method builtins.sum}
   343074    0.302    0.000    0.862    0.000 graph.py:1827(nbunch_iter)
   347673    0.301    0.000    1.087    0.000 union_find.py:101(union)
      751    0.299    0.000    0.299    0.000 {method 'close' of '_io.TextIOWrapper' objects}
   687058    0.261    0.000    1.903    0.000 reportviews.py:174(__iter__)
        1    0.254    0.254    0.254    0.254 {method 'read' of '_io.TextIOWrapper' objects}
   347673    0.213    0.000    0.305    0.000 {built-in method builtins.max}
   171012    0.210    0.000    0.210    0.000 graph.py:987(remove_edge)
  1334885    0.203    0.000    0.203    0.000 {built-in method builtins.hasattr}
   332464    0.203    0.000    0.276    0.000 coreviews.py:318(<genexpr>)
   350021    0.203    0.000    3.823    0.000 coreviews.py:266(__len__)
   343074    0.199    0.000    0.199    0.000 coreviews.py:303(__init__)
  2294801    0.192    0.000    0.192    0.000 reportviews.py:655(<lambda>)
  1746787    0.184    0.000    0.184    0.000 {built-in method builtins.id}
   171012    0.173    0.000    0.724    0.000 decorator.py:decorator-gen-174>:1(connected_components)
  2185202    0.167    0.000    0.167    0.000 {method 'append' of 'list' objects}
   617750    0.149    0.000    0.297    0.000 graph.py:1513(<genexpr>)
   347673    0.149    0.000    0.481    0.000 union_find.py:103(<listcomp>)
   366318    0.121    0.000    0.121    0.000 coreviews.py:317(<genexpr>)
      255    0.121    0.000    0.829    0.003 GerrymanderingMCMC.py:195(__update_new_districts_with_cut)
   683028    0.118    0.000    0.118    0.000 reportviews.py:189(__call__)
   350231    0.116    0.000    0.170    0.000 _collections_abc.py:676(items)
      350    0.110    0.000    0.486    0.001 boundary.py:100(node_boundary)
   990301    0.101    0.000    0.101    0.000 {built-in method math.isnan}
   990301    0.099    0.000    0.099    0.000 {method 'random' of '_random.Random' objects}
   695346    0.092    0.000    0.092    0.000 union_find.py:105(<lambda>)
      420    0.077    0.000   16.273    0.039 mst.py:552(maximum_spanning_tree)
   686189    0.076    0.000    0.076    0.000 graph.py:1428(is_directed)
   687029    0.075    0.000    0.075    0.000 graph.py:1424(is_multigraph)
   171262    0.074    0.000    0.107    0.000 graph.py:398(__iter__)
   148461    0.061    0.000    0.204    0.000 graph.py:451(__getitem__)
   341514    0.054    0.000    0.054    0.000 {built-in method builtins.abs}
   350231    0.054    0.000    0.054    0.000 _collections_abc.py:698(__init__)
      350    0.041    0.000    0.087    0.000 boundary.py:137(<setcomp>)
   148811    0.039    0.000    0.243    0.000 boundary.py:138(<genexpr>)
        1    0.030    0.030    0.388    0.388 GerrymanderingMCMC.py:53(read_graph)
      754    0.021    0.000    0.023    0.000 encoder.py:204(iterencode)
        1    0.020    0.020    0.024    0.024 adjacency.py:15(adjacency_data)
     1050    0.020    0.000    0.130    0.000 random.py:286(sample)
     1502    0.016    0.000    0.016    0.000 {built-in method posix.stat}
        1    0.016    0.016    0.016    0.016 decoder.py:343(raw_decode)
      753    0.015    0.000    0.015    0.000 {built-in method posix.mkdir}
      350    0.012    0.000    0.029    0.000 GerrymanderingMCMC.py:149(<listcomp>)
     1500    0.008    0.000    0.009    0.000 BWP.py:16(append)
     1700    0.005    0.000    3.005    0.002 GerrymanderingMCMC.py:153(__get_district_nodes)
      753    0.005    0.000    0.043    0.000 os.py:198(makedirs)
      753    0.005    0.000    0.010    0.000 posixpath.py:154(dirname)
     2100    0.005    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
      350    0.005    0.000    1.175    0.003 GerrymanderingMCMC.py:143(__find_neighboring_district)
      250    0.005    0.000    0.597    0.002 MMD.py:14(save)
      250    0.004    0.000    0.299    0.001 RDS.py:56(save)
      250    0.004    0.000    3.336    0.013 node_link.py:20(node_link_data)
      350    0.004    0.000    9.976    0.029 graph.py:1432(copy)
     1050    0.003    0.000    0.133    0.000 GerrymanderingMCMC.py:137(__random_district_label)
      755    0.003    0.000    0.005    0.000 _bootlocale.py:33(getpreferredencoding)
      755    0.003    0.000    0.003    0.000 {built-in method _locale.nl_langinfo}
1053/1052    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
     6000    0.002    0.000    0.002    0.000 {built-in method _bisect.insort_right}
      670    0.002    0.000    0.002    0.000 reportviews.py:642(__init__)
     1050    0.002    0.000    0.004    0.000 random.py:224(_randbelow)
      749    0.002    0.000    0.006    0.000 genericpath.py:39(isdir)
     1000    0.002    0.000    0.002    0.000 RDS.py:11(append)
      840    0.002    0.000    0.002    0.000 coreviews.py:311(__iter__)
      753    0.002    0.000    0.003    0.000 posixpath.py:104(split)
      753    0.002    0.000    0.002    0.000 encoder.py:259(_make_iterencode)
      670    0.002    0.000    0.004    0.000 reportviews.py:933(__call__)
      700    0.002    0.000    1.335    0.002 GerrymanderingMCMC.py:160(__get_district_subgraph)
     1506    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
     1764    0.002    0.000    0.002    0.000 graph.py:477(add_node)
      753    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
     2100    0.001    0.000    0.010    0.000 abc.py:137(__instancecheck__)
     1506    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
        1    0.001    0.001 1319.147 1319.147 runner.py:7(main)
     1851    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
      420    0.001    0.000    0.005    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
      420    0.001    0.000    0.001    0.000 mst.py:402(maximum_spanning_edges)
        1    0.001    0.001    0.389    0.389 GerrymanderingMCMC.py:31(__init__)
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
     1507    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      420    0.001    0.000    0.001    0.000 union_find.py:38(__init__)
        1    0.001    0.001    0.010    0.010 RDS.py:36(summary)
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
     1506    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
1053/1052    0.001    0.000    0.004    0.000 abc.py:141(__subclasscheck__)
      250    0.000    0.000    0.000    0.000 MMD.py:11(append)
     1050    0.000    0.000    0.187    0.000 reportviews.py:171(__len__)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.001    0.001 MMD.py:21(summary)
        1    0.000    0.000    0.016    0.016 BWP.py:34(save)
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.015    0.015 encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.270    0.270 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.000    0.000 graph.py:1345(adjacency)
        1    0.000    0.000    0.015    0.015 __init__.py:183(dumps)
        1    0.000    0.000    0.016    0.016 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 RDS.py:6(__init__)
        1    0.000    0.000    0.001    0.001 codecs.py:319(decode)
        1    0.000    0.000    0.016    0.016 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.270    0.270 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
        1    0.000    0.000    0.000    0.000 MMD.py:6(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:709(__str__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_opener)
        1    0.000    0.000    0.000    0.000 pathlib.py:692(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1199(open)
