37 

         1361254557 function calls (1313204074 primitive calls) in 434.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      563    0.001    0.000    0.001    0.000 mst.py:402(maximum_spanning_edges)
      758    0.001    0.000    0.012    0.000 genericpath.py:16(exists)
      563    0.001    0.000    0.005    0.000 decorator.py:decorator-gen-546>:1(maximum_spanning_edges)
     1511    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      563    0.001    0.000    0.001    0.000 union_find.py:38(__init__)
      754    0.001    0.000    0.001    0.000 codecs.py:186(__init__)
     1451    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.001    0.001    0.001    0.001 MMD.py:21(summary)
        1    0.001    0.001    0.173    0.173 GerrymanderingMCMC.py:31(__init__)
     1512    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1050    0.001    0.000    0.001    0.000 _collections_abc.py:302(__subclasshook__)
     1511    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
1053/1052    0.001    0.000    0.003    0.000 abc.py:141(__subclasscheck__)
     1050    0.000    0.000    0.086    0.000 reportviews.py:171(__len__)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      250    0.000    0.000    0.000    0.000 MMD.py:11(append)
      749    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.054    0.054 BWP.py:34(save)
     1050    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      350    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.015    0.015 GerrymanderingMCMC.py:81(__load_json)
        1    0.000    0.000    0.000    0.000 BWP.py:8(__init__)
        1    0.000    0.000    0.011    0.011 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.018    0.018 encoder.py:182(encode)
        1    0.000    0.000    0.015    0.015 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
